epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,822.292,0.93648,0.85001,1.15225,0.86705,0.67208,0.7503,0.41525,1.48494,0.94551,1.51247,0.000424187,0.000424187,0.000424187
43,842.355,0.9359,0.84041,1.15202,0.81294,0.68071,0.73793,0.41731,1.45676,0.95408,1.49805,0.000417119,0.000417119,0.000417119
44,862.04,0.92753,0.83305,1.14331,0.81781,0.71519,0.75334,0.45467,1.37557,0.91097,1.39958,0.00041005,0.00041005,0.00041005
45,881.917,0.90069,0.82177,1.13652,0.87158,0.68287,0.75076,0.438,1.40797,0.92485,1.45119,0.000402982,0.000402982,0.000402982
46,901.81,0.91503,0.82106,1.13969,0.85707,0.65492,0.73689,0.44714,1.38008,0.95476,1.42378,0.000395913,0.000395913,0.000395913
47,922.266,0.91347,0.81586,1.13596,0.83242,0.69231,0.7614,0.43689,1.42231,0.92336,1.45117,0.000388844,0.000388844,0.000388844
48,942.337,0.90864,0.80887,1.13265,0.8604,0.67243,0.74628,0.44321,1.36296,0.92106,1.41883,0.000381776,0.000381776,0.000381776
49,962.832,0.88763,0.80076,1.12766,0.88258,0.66271,0.75682,0.44962,1.38749,0.91114,1.42664,0.000374707,0.000374707,0.000374707
50,983.248,0.90093,0.80439,1.13137,0.84071,0.66796,0.75284,0.46211,1.32006,0.89262,1.39699,0.000367639,0.000367639,0.000367639
51,1003.47,0.90018,0.79669,1.12877,0.86883,0.69151,0.77003,0.46579,1.34794,0.86204,1.40173,0.00036057,0.00036057,0.00036057
52,1023.48,0.88712,0.78606,1.12024,0.87714,0.66041,0.75617,0.46193,1.31637,0.88487,1.37777,0.000353501,0.000353501,0.000353501
53,1043.88,0.87823,0.77377,1.11955,0.85784,0.6827,0.76412,0.45487,1.38695,0.89403,1.42962,0.000346433,0.000346433,0.000346433
54,1064.27,0.88845,0.78131,1.12545,0.80008,0.72661,0.78176,0.47154,1.38009,0.84385,1.40733,0.000339364,0.000339364,0.000339364
55,1084.26,0.88228,0.78063,1.12221,0.86589,0.68459,0.76642,0.46096,1.36368,0.8612,1.41425,0.000332296,0.000332296,0.000332296
56,1104.16,0.86903,0.77097,1.11616,0.85974,0.70408,0.76871,0.44777,1.45943,0.8786,1.4821,0.000325227,0.000325227,0.000325227
57,1123.7,0.86603,0.76286,1.11275,0.8063,0.71391,0.76244,0.46959,1.31653,0.86235,1.38223,0.000318158,0.000318158,0.000318158
58,1143.89,0.87208,0.76101,1.11562,0.90252,0.6939,0.77811,0.4622,1.34268,0.82824,1.40105,0.00031109,0.00031109,0.00031109
59,1164.25,0.85802,0.74239,1.10488,0.83601,0.67685,0.74632,0.45583,1.33478,0.88449,1.39612,0.000304021,0.000304021,0.000304021
60,1184.71,0.85753,0.74732,1.10377,0.84002,0.70492,0.77089,0.47427,1.34946,0.8433,1.40082,0.000296953,0.000296953,0.000296953
61,1204.68,0.85407,0.73872,1.1081,0.86187,0.70087,0.76934,0.46432,1.37448,0.85023,1.43498,0.000289884,0.000289884,0.000289884
62,1224.7,0.8579,0.74346,1.10839,0.83527,0.69373,0.76518,0.47392,1.30096,0.83407,1.37412,0.000282815,0.000282815,0.000282815
63,1244.58,0.8529,0.73782,1.101,0.86464,0.69505,0.7785,0.47752,1.33166,0.80118,1.38422,0.000275747,0.000275747,0.000275747
64,1264.99,0.84791,0.73154,1.09661,0.84143,0.70815,0.77921,0.45613,1.40225,0.83407,1.44516,0.000268678,0.000268678,0.000268678
65,1285.06,0.83845,0.72178,1.0949,0.8603,0.71481,0.78825,0.48308,1.33603,0.78913,1.38468,0.00026161,0.00026161,0.00026161
66,1305.1,0.8493,0.732,1.10185,0.91271,0.67129,0.78213,0.4824,1.31876,0.79117,1.3733,0.000254541,0.000254541,0.000254541
67,1324.74,0.83616,0.7207,1.09571,0.8787,0.67672,0.76495,0.4819,1.29729,0.84096,1.3592,0.000247472,0.000247472,0.000247472
68,1344.27,0.83636,0.71427,1.08846,0.85859,0.69331,0.77338,0.48848,1.28875,0.83017,1.35778,0.000240404,0.000240404,0.000240404
69,1364.38,0.83932,0.72138,1.09358,0.86061,0.71344,0.78061,0.47096,1.35982,0.80668,1.40462,0.000233335,0.000233335,0.000233335
70,1384.26,0.83834,0.71534,1.09236,0.87692,0.69653,0.78325,0.50466,1.23005,0.77154,1.31874,0.000226267,0.000226267,0.000226267
71,1404.29,0.82772,0.70213,1.0855,0.84975,0.73385,0.794,0.49889,1.28052,0.77581,1.35634,0.000219198,0.000219198,0.000219198
72,1423.99,0.82066,0.70061,1.08654,0.91778,0.68963,0.79297,0.49856,1.28431,0.76556,1.35984,0.000212129,0.000212129,0.000212129
73,1443.84,0.82807,0.70132,1.08851,0.89515,0.7065,0.79652,0.48965,1.31321,0.76748,1.36572,0.000205061,0.000205061,0.000205061
74,1463.85,0.81886,0.6953,1.08194,0.88065,0.70143,0.77983,0.48666,1.33697,0.79519,1.39103,0.000197992,0.000197992,0.000197992
75,1483.1,0.81778,0.68953,1.07913,0.88674,0.70305,0.78961,0.49604,1.29812,0.79231,1.34764,0.000190924,0.000190924,0.000190924
76,1502.4,0.81421,0.6897,1.07999,0.85257,0.73185,0.79489,0.48532,1.35128,0.79544,1.39655,0.000183855,0.000183855,0.000183855
77,1521.75,0.80392,0.68146,1.07563,0.85902,0.70501,0.78132,0.48639,1.31234,0.78194,1.35874,0.000176786,0.000176786,0.000176786
78,1541.43,0.80729,0.67986,1.07321,0.83118,0.73102,0.78484,0.49426,1.27256,0.80718,1.33926,0.000169718,0.000169718,0.000169718
79,1561.01,0.81155,0.68192,1.07696,0.89106,0.72369,0.79565,0.49355,1.2923,0.76402,1.34369,0.000162649,0.000162649,0.000162649
80,1580.55,0.80763,0.67698,1.07488,0.86085,0.7272,0.79228,0.49918,1.26923,0.76862,1.35413,0.000155581,0.000155581,0.000155581
81,1599.94,0.79646,0.67349,1.06705,0.88076,0.71535,0.78916,0.51045,1.25564,0.75917,1.32992,0.000148512,0.000148512,0.000148512
82,1619.22,0.80042,0.66904,1.06452,0.88789,0.72768,0.7952,0.50448,1.25421,0.76403,1.33735,0.000141443,0.000141443,0.000141443
83,1638.5,0.79122,0.66538,1.06318,0.87364,0.71889,0.79477,0.49262,1.30633,0.76627,1.37576,0.000134375,0.000134375,0.000134375
84,1658.06,0.79135,0.6645,1.06599,0.89641,0.7281,0.79626,0.50036,1.26216,0.74803,1.33084,0.000127306,0.000127306,0.000127306
85,1677.51,0.78956,0.65678,1.06191,0.88585,0.72166,0.79478,0.51255,1.211,0.74303,1.29807,0.000120238,0.000120238,0.000120238
86,1697.01,0.78377,0.65411,1.05919,0.88398,0.72585,0.80262,0.50075,1.29402,0.76332,1.35613,0.000113169,0.000113169,0.000113169
87,1716.64,0.78951,0.65817,1.05672,0.88431,0.72934,0.80189,0.5095,1.26438,0.75035,1.33549,0.0001061,0.0001061,0.0001061
88,1736.16,0.78489,0.65286,1.06318,0.88465,0.71168,0.79831,0.50861,1.26066,0.76103,1.33525,9.90318e-05,9.90318e-05,9.90318e-05
89,1755.81,0.77366,0.64219,1.05499,0.91675,0.69041,0.79852,0.51537,1.21442,0.74171,1.29858,9.19632e-05,9.19632e-05,9.19632e-05
90,1775.49,0.7723,0.63751,1.05597,0.8789,0.72628,0.8032,0.51087,1.24845,0.75077,1.3146,8.48946e-05,8.48946e-05,8.48946e-05
91,1796.42,0.7822,0.58146,1.05656,0.87654,0.71611,0.78953,0.49561,1.2896,0.76123,1.35133,7.7826e-05,7.7826e-05,7.7826e-05
92,1816.47,0.76005,0.55906,1.04421,0.92455,0.69465,0.79517,0.5068,1.25663,0.75181,1.33203,7.07574e-05,7.07574e-05,7.07574e-05
93,1836.8,0.75372,0.54847,1.03911,0.89361,0.72088,0.79966,0.50188,1.27654,0.75125,1.3466,6.36888e-05,6.36888e-05,6.36888e-05
94,1856.96,0.75129,0.54694,1.03735,0.87167,0.73107,0.80177,0.50425,1.26758,0.74147,1.33925,5.66202e-05,5.66202e-05,5.66202e-05
95,1876.96,0.74559,0.54024,1.03581,0.90658,0.7166,0.80004,0.50883,1.24831,0.73807,1.32706,4.95516e-05,4.95516e-05,4.95516e-05
96,1895.82,0.74107,0.53904,1.03325,0.87721,0.73986,0.80665,0.5127,1.23646,0.72317,1.31614,4.2483e-05,4.2483e-05,4.2483e-05
97,1915.71,0.7329,0.52886,1.03062,0.89846,0.7214,0.80167,0.51011,1.24748,0.7323,1.32497,3.54144e-05,3.54144e-05,3.54144e-05
98,1935.75,0.73155,0.53061,1.03001,0.90328,0.72638,0.8054,0.50742,1.25359,0.73815,1.33245,2.83458e-05,2.83458e-05,2.83458e-05
99,1956.03,0.73238,0.52819,1.02828,0.90207,0.72344,0.8055,0.514,1.2346,0.72567,1.31658,2.12772e-05,2.12772e-05,2.12772e-05
100,1975.97,0.72647,0.52587,1.02087,0.8898,0.73124,0.80361,0.5134,1.24303,0.72677,1.32299,1.42086e-05,1.42086e-05,1.42086e-05
